Percent Change,Percent Change1,date
0.000606194,0.0606194,09-01-2015 05:10
0.004631956,0.4631956,09-01-2015 08:25
-0.000321655,-0.0321655,09-01-2015 08:25
-0.00023621,-0.023621,09-01-2015 09:05
0.000102674,0.0102674,09-01-2015 09:05
0.001665973,0.1665973,09-01-2015 09:15
-0.000422695,-0.0422695,09-01-2015 09:35
-0.001827226,-0.1827226,09-01-2015 09:35
0.002496864,0.2496864,12-01-2015 03:45
-0.000672986,-0.0672986,12-01-2015 03:45
0.002181278,0.2181278,12-01-2015 03:45
-0.000399066,-0.0399066,12-01-2015 04:25
-0.000498337,-0.0498337,12-01-2015 04:45
-0.000295817,-0.0295817,12-01-2015 06:40
-0.000823626,-0.0823626,12-01-2015 06:40
-0.000772818,-0.0772818,12-01-2015 06:30
0.000126141,0.0126141,12-01-2015 06:45
0.006710846,0.6710846,12-01-2015 07:40
-0.001106424,-0.1106424,12-01-2015 08:20
0.00091703,0.091703,12-01-2015 08:30
-0.000441006,-0.0441006,12-01-2015 08:30
-0.000548638,-0.0548638,12-01-2015 08:50
0.00038662,0.038662,12-01-2015 09:35
9.60E-05,0.0096,12-01-2015 09:35
0.000871458,0.0871458,12-01-2015 09:35
0.002461255,0.2461255,12-01-2015 09:45
-6.02E-05,-0.00602,12-01-2015 09:45
-0.000391281,-0.0391281,13-01-2015 09:10
0.002578388,0.2578388,13-01-2015 09:10
0.002385284,0.2385284,13-01-2015 09:10
-0.000787263,-0.0787263,13-01-2015 07:45
-0.001176968,-0.1176968,13-01-2015 07:45
-0.001042671,-0.1042671,13-01-2015 07:45
-0.001678665,-0.1678665,13-01-2015 05:50
-0.001307151,-0.1307151,13-01-2015 05:50
0.000459751,0.0459751,13-01-2015 06:20
1.78E-05,0.00178,13-01-2015 07:45
-0.001256233,-0.1256233,13-01-2015 06:55
-0.000458001,-0.0458001,13-01-2015 07:35
0.000492493,0.0492493,13-01-2015 07:45
-0.000958722,-0.0958722,13-01-2015 08:55
-0.00062212,-0.062212,13-01-2015 09:50
-0.000521062,-0.0521062,14-01-2015 04:00
0.000384425,0.0384425,14-01-2015 04:00
-0.000327254,-0.0327254,14-01-2015 04:45
-0.000581136,-0.0581136,14-01-2015 04:45
0.002592807,0.2592807,14-01-2015 06:30
0.001225712,0.1225712,14-01-2015 08:35
-0.000383396,-0.0383396,14-01-2015 08:35
0.00014615,0.014615,15-01-2015 03:45
-0.000207489,-0.0207489,15-01-2015 03:45
-0.000613558,-0.0613558,15-01-2015 03:45
-0.000317097,-0.0317097,15-01-2015 03:45
-0.000331683,-0.0331683,14-01-2015 09:50
-0.000610707,-0.0610707,15-01-2015 05:40
0.000845707,0.0845707,15-01-2015 05:40
2.32E-05,0.00232,15-01-2015 05:40
-0.000781824,-0.0781824,15-01-2015 05:40
2.61E-05,0.00261,15-01-2015 05:40
-0.000318935,-0.0318935,15-01-2015 05:40
-9.56E-05,-0.00956,15-01-2015 05:40
-0.000630897,-0.0630897,15-01-2015 05:40
-0.000432671,-0.0432671,15-01-2015 05:40
-0.00142605,-0.142605,15-01-2015 05:40
0.000232123,0.0232123,15-01-2015 05:40
-0.000120258,-0.0120258,15-01-2015 06:00
-0.001446349,-0.1446349,15-01-2015 06:00
0.002767877,0.2767877,15-01-2015 06:00
-5.74E-05,-0.00574,15-01-2015 07:10
-0.000636256,-0.0636256,15-01-2015 07:10
-0.00109455,-0.109455,15-01-2015 07:10
0.000128922,0.0128922,15-01-2015 07:10
-0.000415272,-0.0415272,15-01-2015 07:10
-0.001115197,-0.1115197,15-01-2015 07:05
-0.000348142,-0.0348142,15-01-2015 07:15
-0.000276677,-0.0276677,15-01-2015 08:05
-0.00055977,-0.055977,15-01-2015 08:35
-0.000875206,-0.0875206,15-01-2015 08:35
-0.000941163,-0.0941163,15-01-2015 09:00
0.001685122,0.1685122,15-01-2015 09:15
-0.00088788,-0.088788,15-01-2015 09:15
-0.000804916,-0.0804916,19-01-2015 04:35
