,index,date,close,high,low,open,volume,date1,year,month,day,time,Size of Candle,is_forty_point
0,122027,2022-01-03 09:15:00+05:30,17473.2,17474.65,17387.15,17387.15,0,2022-01-03,2022,1,3,09:15:00,86.04999999999927,True
1,122028,2022-01-03 09:20:00+05:30,17439.2,17478.1,17438.9,17470.95,0,2022-01-03,2022,1,3,09:20:00,-31.75,False
2,122029,2022-01-03 09:25:00+05:30,17462.35,17463.8,17436.35,17439.75,0,2022-01-03,2022,1,3,09:25:00,22.599999999998545,False
3,122030,2022-01-03 09:30:00+05:30,17462.8,17473.1,17450.75,17463.2,0,2022-01-03,2022,1,3,09:30:00,-0.4000000000014552,False
4,122031,2022-01-03 09:35:00+05:30,17473.5,17475.05,17461.4,17463.0,0,2022-01-03,2022,1,3,09:35:00,10.5,False
5,122032,2022-01-03 09:40:00+05:30,17463.35,17474.35,17460.85,17473.55,0,2022-01-03,2022,1,3,09:40:00,-10.200000000000728,False
6,122033,2022-01-03 09:45:00+05:30,17484.8,17484.8,17461.0,17463.1,0,2022-01-03,2022,1,3,09:45:00,21.700000000000728,False
7,122034,2022-01-03 09:50:00+05:30,17493.95,17497.35,17482.4,17484.9,0,2022-01-03,2022,1,3,09:50:00,9.049999999999272,False
8,122035,2022-01-03 09:55:00+05:30,17497.5,17498.2,17485.25,17492.85,0,2022-01-03,2022,1,3,09:55:00,4.650000000001455,False
9,122036,2022-01-03 10:00:00+05:30,17496.65,17499.25,17486.25,17496.3,0,2022-01-03,2022,1,3,10:00:00,0.3500000000021828,False
80,122107,2022-01-04 09:40:00+05:30,17657.4,17657.4,17594.25,17617.0,0,2022-01-04,2022,1,4,09:40:00,40.400000000001455,True
81,122108,2022-01-04 09:45:00+05:30,17675.55,17677.7,17655.0,17657.85,0,2022-01-04,2022,1,4,09:45:00,17.700000000000728,False
82,122109,2022-01-04 09:50:00+05:30,17681.45,17682.55,17670.1,17675.35,0,2022-01-04,2022,1,4,09:50:00,6.100000000002183,False
83,122110,2022-01-04 09:55:00+05:30,17699.95,17701.0,17677.1,17681.1,0,2022-01-04,2022,1,4,09:55:00,18.850000000002183,False
84,122111,2022-01-04 10:00:00+05:30,17697.65,17702.6,17690.45,17699.7,0,2022-01-04,2022,1,4,10:00:00,-2.0499999999992724,False
85,122112,2022-01-04 10:05:00+05:30,17713.1,17714.5,17695.55,17697.45,0,2022-01-04,2022,1,4,10:05:00,15.649999999997817,False
86,122113,2022-01-04 10:10:00+05:30,17722.4,17723.05,17712.2,17714.95,0,2022-01-04,2022,1,4,10:10:00,7.450000000000728,False
