,index,date,close,high,low,open,candle_size
30,30,2015-01-09 11:45:00+05:30,8254.8,8260.7,8253.3,8255.95,-1.1500000000014552
31,31,2015-01-09 11:50:00+05:30,8257.65,8257.65,8254.15,8254.7,2.9499999999989086
32,32,2015-01-09 11:55:00+05:30,8259.1,8260.25,8257.15,8257.3,1.8000000000010914
33,33,2015-01-09 12:00:00+05:30,8211.5,8260.3,8211.2,8259.2,-47.70000000000073
34,34,2015-01-09 12:05:00+05:30,8211.85,8226.0,8191.1,8211.15,0.7000000000007276
45,45,2015-01-09 13:00:00+05:30,8259.35,8271.65,8256.45,8265.8,-6.449999999998909
46,46,2015-01-09 13:05:00+05:30,8269.85,8270.6,8256.75,8258.7,11.149999999999636
47,47,2015-01-09 13:10:00+05:30,8245.85,8272.6,8245.85,8269.85,-24.0
48,48,2015-01-09 13:15:00+05:30,8244.35,8249.45,8229.7,8246.7,-2.350000000000364
49,49,2015-01-09 13:20:00+05:30,8236.75,8246.95,8228.55,8245.6,-8.850000000000364
59,59,2015-01-09 14:10:00+05:30,8225.2,8240.5,8224.95,8229.95,-4.75
60,60,2015-01-09 14:15:00+05:30,8242.1,8243.55,8224.75,8224.75,17.350000000000364
61,61,2015-01-09 14:20:00+05:30,8236.75,8250.0,8236.3,8242.1,-5.350000000000364
62,62,2015-01-09 14:25:00+05:30,8240.1,8241.3,8236.25,8236.9,3.2000000000007276
63,63,2015-01-09 14:30:00+05:30,8237.3,8246.75,8230.65,8240.0,-2.7000000000007276
72,72,2015-01-09 15:15:00+05:30,8281.05,8287.55,8279.4,8286.3,-5.25
73,73,2015-01-09 15:20:00+05:30,8286.35,8288.05,8280.8,8280.8,5.550000000001091
74,74,2015-01-09 15:25:00+05:30,8280.25,8286.65,8278.05,8286.65,-6.399999999999636
75,75,2015-01-12 09:15:00+05:30,8267.6,8291.35,8245.6,8291.35,-23.75
76,76,2015-01-12 09:20:00+05:30,8257.95,8274.45,8257.95,8267.45,-9.5
81,81,2015-01-12 09:45:00+05:30,8270.5,8274.0,8265.1,8271.05,-0.5499999999992724
82,82,2015-01-12 09:50:00+05:30,8274.6,8283.7,8269.9,8270.3,4.300000000001091
83,83,2015-01-12 09:55:00+05:30,8285.9,8287.6,8272.9,8274.5,11.399999999999636
84,84,2015-01-12 10:00:00+05:30,8281.5,8292.7,8281.15,8285.8,-4.299999999999272
85,85,2015-01-12 10:05:00+05:30,8274.05,8288.05,8273.45,8281.1,-7.050000000001091
86,86,2015-01-12 10:10:00+05:30,8284.1,8286.65,8273.45,8273.65,10.450000000000728
87,87,2015-01-12 10:15:00+05:30,8294.05,8296.5,8283.1,8283.5,10.549999999999272
88,88,2015-01-12 10:20:00+05:30,8293.15,8294.9,8289.7,8294.2,-1.0500000000010914
89,89,2015-01-12 10:25:00+05:30,8293.35,8297.3,8290.8,8292.95,0.3999999999996362
125,125,2015-01-12 13:25:00+05:30,8267.85,8274.45,8266.8,8273.2,-5.350000000000364
126,126,2015-01-12 13:30:00+05:30,8275.1,8275.1,8267.15,8267.75,7.350000000000364
127,127,2015-01-12 13:35:00+05:30,8277.45,8281.65,8275.05,8275.05,2.400000000001455
128,128,2015-01-12 13:40:00+05:30,8277.55,8279.5,8272.8,8277.5,0.049999999999272404
129,129,2015-01-12 13:45:00+05:30,8281.5,8290.6,8277.5,8277.85,3.649999999999636
131,131,2015-01-12 13:55:00+05:30,8282.0,8284.25,8279.45,8282.3,-0.2999999999992724
132,132,2015-01-12 14:00:00+05:30,8290.55,8291.4,8281.4,8281.4,9.149999999999636
133,133,2015-01-12 14:05:00+05:30,8289.75,8293.35,8288.4,8291.4,-1.6499999999996362
134,134,2015-01-12 14:10:00+05:30,8283.3,8290.7,8283.15,8289.75,-6.450000000000728
135,135,2015-01-12 14:15:00+05:30,8287.25,8289.05,8282.15,8283.3,3.9500000000007276
142,142,2015-01-12 14:50:00+05:30,8303.8,8306.65,8301.25,8304.9,-1.1000000000003638
143,143,2015-01-12 14:55:00+05:30,8305.85,8309.85,8303.15,8303.5,2.350000000000364
144,144,2015-01-12 15:00:00+05:30,8320.05,8320.8,8305.8,8305.8,14.25
145,145,2015-01-12 15:05:00+05:30,8321.0,8323.6,8317.65,8320.15,0.8500000000003638
146,146,2015-01-12 15:10:00+05:30,8319.95,8323.0,8316.4,8320.45,-0.5
147,147,2015-01-12 15:15:00+05:30,8328.55,8328.85,8318.6,8319.55,9.0
148,148,2015-01-12 15:20:00+05:30,8329.25,8330.4,8325.4,8329.5,-0.25
149,149,2015-01-12 15:25:00+05:30,8326.55,8332.25,8324.8,8330.2,-3.650000000001455
150,150,2015-01-13 09:15:00+05:30,8340.8,8355.9,8338.5,8346.15,-5.350000000000364
